global_id,Name,AdmArea,District,Address,Photo,Capacity,DepartmentalAffiliation,ObjectOperOrgName,ObjectOperOrgPhone,Longitude,Latitude
14020465,Велосипедная парковка № 14008 «Перехватывающая парковка у метро Красногвардейская» (2),Южный административный округ,Зябликово,«Перехватывающая парковка у метро Красногвардейская»,0aabdd77-e4a9-4049-abcf-d9731f79745d,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.741347,55.613366
14020466,Велосипедная парковка № 14008 «Перехватывающая парковка у метро Красногвардейская» (3),Южный административный округ,Зябликово,«Перехватывающая парковка у метро Красногвардейская»,f4b3387b-f930-4c88-999f-c4bb8902344e,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.741347,55.613366
14020504,Велосипедная парковка № 23010 «Детская городская поликлинника №118» (1),Юго-Западный административный округ,Северное Бутово,"улица Куликовская, 1Б",8340455d-d241-4565-900f-342c96c07d79,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.565449,55.571656
14020512,Велосипедная парковка № 26005 «Центральная детская библиотека № 118»,Восточный административный округ,Соколиная Гора,"улица Щербаковская, 54",028dc501-8cf8-45c4-9ace-6d4646cc882d,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.738800,55.781969
14020712,Велосипедная парковка № 27003 «Центральная городская деловая библиотека»,Северо-Восточный административный округ,Алексеевский,"улица Бориса Галушкина, 19 корпус 1",1427867f-dfc9-40e3-a939-43ec82f23b5b,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.661400,55.822488
14020714,Велосипедная парковка № 27005 «Детская библиотека № 50 ЦБС № 2»,Северо-Восточный административный округ,Ростокино,"Проспект Мира, 198 корпус 2",3c6f13bc-8e49-4355-aafd-f420d88edf29,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.662116,55.837273
14020715,Велосипедная парковка № 28001 «Театр «Центр драматургии и режиссуры»»,Северный административный округ,Беговой,"улица Беговая, дом 5",c23830a8-58a0-4a99-a745-b008824fa712,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.554829,55.776699
14020719,Велосипедная парковка № 28005 «стадион Динамо»,Северный административный округ,Аэропорт,"Ленинградский проспект, владение 36",4121124d-3608-4553-9120-ec2116c00c18,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.559965,55.790521
14020727,Велосипедная парковка № 29003 «Центральная деткая библиотека № 110»,Северо-Западный административный округ,Северное Тушино,"Химкинский бульвар, 16, корпус 1",c9207be8-c63c-4c27-b6a7-fb6d56dd3cfd,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.442928,55.851956
14020728,Велосипедная парковка № 29004 «Библитека №216»,Северо-Западный административный округ,Северное Тушино,"улица Туристская, 31, корпус 1",5398de55-746a-44fa-a98c-cb6be0d3b4db,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.419611,55.857259
14020729,Велосипедная парковка № 29005 «Детская библиотека № 123»,Северо-Западный административный округ,Северное Тушино,"улица Планерная, 7, корпус 1",9c97cb4f-e03c-4623-8fa2-52f9b8f200f1,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.433497,55.863319
14020730,Велосипедная парковка № 29007 «Центральная библиотека № 49»,Северо-Западный административный округ,Хорошёво-Мнёвники,"улица Мневники, дом 10 корпус 1",1ac8b701-d4aa-4238-bcaa-c9a84d295a4f,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.494021,55.773439
14020733,Велосипедная парковка № 31001 «Школа № 282»,Центральный административный округ,Красносельский,"Скорняжный переулок, дом 3, строение 1",7c710948-756b-4df4-909d-aefb3329324c,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.642347,55.773500
14020751,Велосипедная парковка № 33004 «Школа № 49»,Юго-Западный административный округ,Коньково,"улица Генерала Антонова, 5А",31bcc405-2613-4f69-8386-e593a903045e,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.535969,55.646309
